" Waitting for transfer"," Waitting for transfer"
" You need create a notice for manager a purchase order."," You need create a notice for manager a purchase order."
" and "," and "
" in inventory"," in inventory"
" small than qty you want ship "," small than qty you want ship "
"AVERAGE","AVERAGE"
"Action","Action"
"Action Owner","Action Owner"
"Action Owner: ","Action Owner: "
"Active","Active"
"Add Adjust Stock","Add Adjust Stock"
"Add Item","Add Item"
"Add New Purchase Order","Add New Purchase Order"
"Add New Stock Transfer","Add New Stock Transfer"
"Add Payment Term","Add Payment Term"
"Add Payment Terms","Add Payment Terms"
"Add Shipping Method","Add Shipping Method"
"Add Stock Adjustment","Add Stock Adjustment"
"Add Stock Issuing","Add Stock Issuing"
"Add Stock Receiving","Add Stock Receiving"
"Add Supplier","Add Supplier"
"Add Warehouse","Add Warehouse"
"Add product sku : ","Add product sku : "
"Address: ","Address: "
"Adjust Qty","Adjust Qty"
"Adjust Stock","Adjust Stock"
"Adjust Stock History","Adjust Stock History"
"Adjust Stock Information","Adjust Stock Information"
"Adjust Stock does not exist","Adjust Stock does not exist"
"Adjust stock Manager","Adjust stock Manager"
"Adjust stock was successfully created","Adjust stock was successfully created"
"Adjust stocks","Adjust stocks"
"Adjusted Warehouse","Adjusted Warehouse"
"Adjusting Qty","Adjusting Qty"
"Adjustment Date","Adjustment Date"
"Adjustment Information","Adjustment Information"
"Admin Id","Admin Id"
"Admin cannot create stock issuing!","Admin cannot create stock issuing!"
"Admin’s email address to receive notification","Admin’s email address to receive notification"
"Ajust Stock","Ajust Stock"
"All","All"
"Allow Everything","Allow Everything"
"Append Comments","Append Comments"
"Apply Transfer","Apply Transfer"
"Are you sure?","Are you sure?"
"Auto change "Stock Availability" when updating stock quantity","Auto change "Stock Availability" when updating stock quantity"
"Auto-update cost, discount and tax of products for suppliers after purchasing order","Auto-update cost, discount and tax of products for suppliers after purchasing order"
"Autogenerate","Autogenerate"
"BOTH WAREHOUSE AND SYSTEM","BOTH WAREHOUSE AND SYSTEM"
"Back","Back"
"Backorders","Backorders"
"Because Qty Of","Because Qty Of"
"Bill Name","Bill Name"
"Bill to Name","Bill to Name"
"CHANGE HISTORY","CHANGE HISTORY"
"CSV","CSV"
"Calculation Method For Cost Of Good Sold","Calculation Method For Cost Of Good Sold"
"Calculation Method For Supply Needs","Calculation Method For Supply Needs"
"Calculation Methods Configuration","Calculation Methods Configuration"
"Can adjust Warehouse","Can adjust Warehouse"
"Can edit Warehouse","Can edit Warehouse"
"Can transfer Warehouse","Can transfer Warehouse"
"Cancel","Cancel"
"Cancel Order","Cancel Order"
"Canceled","Canceled"
"Cancellation date","Cancellation date"
"Cannot adjust Warehouse","Cannot adjust Warehouse"
"Cannot edit Warehouse","Cannot edit Warehouse"
"Cannot transfer Warehouse","Cannot transfer Warehouse"
"Change History","Change History"
"Change permission of ","Change permission of "
"Change product sku: ","Change product sku: "
"Change quantity of product sku: ","Change quantity of product sku: "
"Change status","Change status"
"Checked","Checked"
"City","City"
"Comment","Comment"
"Contact Person","Contact Person"
"Continue","Continue"
"Continue new transfer","Continue new transfer"
"Cost","Cost"
"Cost Price","Cost Price"
"Cost price","Cost price"
"Cost: ","Cost: "
"Country","Country"
"Create By","Create By"
"Create Delivery","Create Delivery"
"Create New Adjust Stock","Create New Adjust Stock"
"Create New Custom Stock Receiving","Create New Custom Stock Receiving"
"Create New Delivery For Purchase Order No. ","Create New Delivery For Purchase Order No. "
"Create New Purchase Order ","Create New Purchase Order "
"Create Purchase Order","Create Purchase Order"
"Create Stock Issuing","Create Stock Issuing"
"Create Stock Issuing On","Create Stock Issuing On"
"Create Stock Receiving ","Create Stock Receiving "
"Create Stock Receiving On","Create Stock Receiving On"
"Create a new delivery","Create a new delivery"
"Create all deliveries","Create all deliveries"
"Create at: ","Create at: "
"Create by","Create by"
"Create by: ","Create by: "
"Create new delivery","Create new delivery"
"Created By","Created By"
"Created On","Created On"
"Created by","Created by"
"Credit Memo Comments","Credit Memo Comments"
"Custom Stock Issuing","Custom Stock Issuing"
"Custom Stock Receiving","Custom Stock Receiving"
"Customer Orders","Customer Orders"
"Customer Orders Manager","Customer Orders Manager"
"Date Adjust","Date Adjust"
"Day","Day"
"Delete","Delete"
"Delete Notice","Delete Notice"
"Delete Shipping Method","Delete Shipping Method"
"Delete Stock Receiving","Delete Stock Receiving"
"Delete Stock Transfer","Delete Stock Transfer"
"Delete Supplier","Delete Supplier"
"Delete Warehouse","Delete Warehouse"
"Deliveries","Deliveries"
"Delivery Date","Delivery Date"
"Delivery Information","Delivery Information"
"Delivery On","Delivery On"
"Delivery Process","Delivery Process"
"Delivery was successfully saved!","Delivery was successfully saved!"
"Description","Description"
"Disable","Disable"
"Disabled","Disabled"
"Discount","Discount"
"Discount Amount","Discount Amount"
"Discount: ","Discount: "
"Download","Download"
"Drop Shipments","Drop Shipments"
"Drop shipping is not supported. No supplier available to fulfill this order!","Drop shipping is not supported. No supplier available to fulfill this order!"
"EXPONENTIAL SMOOTHING","EXPONENTIAL SMOOTHING"
"Edit","Edit"
"Edit Notice ","Edit Notice "
"Edit Order No. ","Edit Order No. "
"Edit Payment Term ","Edit Payment Term "
"Edit Shipping Method ","Edit Shipping Method "
"Edit Stock Issuing ","Edit Stock Issuing "
"Edit Stock Receiving ","Edit Stock Receiving "
"Edit Stock Transfering ","Edit Stock Transfering "
"Edit Supplier ","Edit Supplier "
"Edit Warehouse","Edit Warehouse"
"Edit Warehouse ","Edit Warehouse "
"Email","Email"
"Email Copy of Credit Memo","Email Copy of Credit Memo"
"Email Copy of Shipment","Email Copy of Shipment"
"Email For Stock Notification","Email For Stock Notification"
"Email Subject","Email Subject"
"Email sent to Supplier when Purchase Order is created/edited","Email sent to Supplier when Purchase Order is created/edited"
"Email was successfully sent!","Email was successfully sent!"
"Email: ","Email: "
"Emails separated by ;","Emails separated by ;"
"Enable","Enable"
"Enable Qty Increments","Enable Qty Increments"
"Enabled","Enabled"
"Example File","Example File"
"Example file","Example file"
"Excel XML","Excel XML"
"Excl. Tax","Excl. Tax"
"Expected date","Expected date"
"Expected delivery date","Expected delivery date"
"Export","Export"
"Export to CSV","Export to CSV"
"FIFO","FIFO"
"Fax","Fax"
"Field Name","Field Name"
"Filter","Filter"
"From Warehouse","From Warehouse"
"From:","From:"
"General","General"
"General Configuration","General Configuration"
"General Information","General Information"
"General information","General information"
"Get notification when Qty. in stock is equal or under:","Get notification when Qty. in stock is equal or under:"
"Get stock notification for products in:","Get stock notification for products in:"
"Grand Total Excl .TAX","Grand Total Excl .TAX"
"Grand Total Incl.TAX","Grand Total Incl.TAX"
"ID","ID"
"ID #","ID #"
"Id","Id"
"Image","Image"
"Import","Import"
"Import Product By Csv file","Import Product By Csv file"
"Import Product To Create Delivery By Csv file","Import Product To Create Delivery By Csv file"
"Import Product To Create Return Order By Csv file","Import Product To Create Return Order By Csv file"
"Import Products By Csv file","Import Products By Csv file"
"Import Products from CSV file","Import Products from CSV file"
"Import Products to adjust stock from CSV file","Import Products to adjust stock from CSV file"
"In Stock","In Stock"
"Inactive","Inactive"
"Incl. Tax","Incl. Tax"
"Invalid date!","Invalid date!"
"Inventory","Inventory"
"Inventory Manager","Inventory Manager"
"Inventory Module Template","Inventory Module Template"
"Inventory Supplier Email","Inventory Supplier Email"
"Inventory System Email Notice","Inventory System Email Notice"
"Inventory Warehouse Email Notice","Inventory Warehouse Email Notice"
"Invoiced","Invoiced"
"Issued on","Issued on"
"Item Content","Item Content"
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item was successfully deleted","Item was successfully deleted"
"Item was successfully saved","Item was successfully saved"
"Items Manager","Items Manager"
"LAST PURCHASE ORDER","LAST PURCHASE ORDER"
"LIFO","LIFO"
"Last Purchase Order","Last Purchase Order"
"Last Purchase Order On","Last Purchase Order On"
"Last paid payment","Last paid payment"
"Latitude","Latitude"
"Longitude","Longitude"
"Magestore Extension","Magestore Extension"
"Manage Inventory","Manage Inventory"
"Manage Payment Term","Manage Payment Term"
"Manage Payment Terms","Manage Payment Terms"
"Manage Products to adjust stock","Manage Products to adjust stock"
"Manage Purchase Order","Manage Purchase Order"
"Manage Purchase Orders","Manage Purchase Orders"
"Manage Shippineg Method","Manage Shippineg Method"
"Manage Shipping Method","Manage Shipping Method"
"Manage Stock","Manage Stock"
"Manage Suppliers","Manage Suppliers"
"Manage Supply Needs","Manage Supply Needs"
"Manage Warehouse","Manage Warehouse"
"Manager","Manager"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Method For Updating","Method For Updating"
"Min/Max for supply","Min/Max for supply"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Money Paid","Money Paid"
"Month","Month"
"Most Viewed","Most Viewed"
"N/A","N/A"
"Name","Name"
"Name in %s","Name in %s"
"Need more","Need more"
"Need transfer products","Need transfer products"
"Need transfer products.","Need transfer products."
"New Order RSS","New Order RSS"
"New Password","New Password"
"New Value","New Value"
"No","No"
"No Items To Refund","No Items To Refund"
"No supplier found!","No supplier found!"
"No warehouse found!","No warehouse found!"
"None","None"
"Not found any delivery history!","Not found any delivery history!"
"Not found any payment term history!","Not found any payment term history!"
"Not found any purchase order history!","Not found any purchase order history!"
"Not found any return order history!","Not found any return order history!"
"Not found any shipping method history!","Not found any shipping method history!"
"Not found any supplier history!","Not found any supplier history!"
"Not found any transfer stock history!","Not found any transfer stock history!"
"Not found any warehouse history!","Not found any warehouse history!"
"Not found supplier for render report!","Not found supplier for render report!"
"Notice Comment","Notice Comment"
"Notice Date","Notice Date"
"Notice Description","Notice Description"
"Notice General Information","Notice General Information"
"Notice Information","Notice Information"
"Notice Manager","Notice Manager"
"Notice News","Notice News"
"Notice does not exist","Notice does not exist"
"Notice for  admin a comment.","Notice for  admin a comment."
"Notice was successfully saved","Notice was successfully saved"
"Notice was successfully sent!","Notice was successfully sent!"
"Notification email template for low stock level in System","Notification email template for low stock level in System"
"Notification email template for low stock level in Warehouse","Notification email template for low stock level in Warehouse"
"Notify for Quantity Below","Notify for Quantity Below"
"Number of Views","Number of Views"
"ONLY SYSTEM","ONLY SYSTEM"
"ONLY WAREHOUSE","ONLY WAREHOUSE"
"Old Qty","Old Qty"
"Old Value","Old Value"
"Order #","Order #"
"Order Created On","Order Created On"
"Order Id","Order Id"
"Order Return","Order Return"
"Order Return For Purchase Order No. ","Order Return For Purchase Order No. "
"Order placed via","Order placed via"
"Order was successfully Order was successfully cancelled!","Order was successfully Order was successfully cancelled!"
"Ordered","Ordered"
"Other Reports","Other Reports"
"Out of Stock","Out of Stock"
"Paid","Paid"
"Password Management","Password Management"
"Payment Term Information","Payment Term Information"
"Payment Term News","Payment Term News"
"Payment Term was successfully deleted!","Payment Term was successfully deleted!"
"Payment Term was successfully saved!","Payment Term was successfully saved!"
"Payment date","Payment date"
"Payment term days","Payment term days"
"Payment term does not exist","Payment term does not exist"
"Payment term name","Payment term name"
"Payment terms","Payment terms"
"Period","Period"
"Period Filter","Period Filter"
"Permission","Permission"
"Phone","Phone"
"Please choose CSV file to import","Please choose CSV file to import"
"Please select Warehouse to adjust stock","Please select Warehouse to adjust stock"
"Please select Warehouse to create custom  stock receiving","Please select Warehouse to create custom  stock receiving"
"Please select Warehouse to create custom stock issuing","Please select Warehouse to create custom stock issuing"
"Please select product and enter Qty greater than 0 to create delivery!","Please select product and enter Qty greater than 0 to create delivery!"
"Please select product and enter Qty greater than 0 to create return order!","Please select product and enter Qty greater than 0 to create return order!"
"Please select product and enter qty delivery for product to create delivery","Please select product and enter qty delivery for product to create delivery"
"Please select product to create return order","Please select product to create return order"
"Please select region, state or province","Please select region, state or province"
"Please select supplier to report","Please select supplier to report"
"Please select time create delivery","Please select time create delivery"
"Please select time create return order","Please select time create return order"
"Please select to report","Please select to report"
"Please wait...","Please wait..."
"Price","Price"
"Product","Product"
"Product Information","Product Information"
"Product Name","Product Name"
"Product Name123","Product Name123"
"Product SKU","Product SKU"
"Product Sku","Product Sku"
"Product does not exist","Product does not exist"
"Products","Products"
