"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar regra apenas se as seguintes condições forem atendidas (deixe em branco para todos os produtos)"
"Cart Attribute","Atributo do Carrinho"
"Cart Item Attribute","Atribuito do Item do Carrinho"
"Checkout progress","Progresso de Checkout"
"Checkout Promo Rule","Regra de Promoção no Checkout Promo Rule"
"Checkout Promo Rules","Regras de Promoção no Checkout"
"Conditions combination","Combinação de condições"
"Conditions Combination","Combinação de Condições"
"Conditions","Condições"
"Customer Groups","Grupos de Clientes"
"Date Expire","Data Expiração"
"Date Start","Data Início"
"Delete Rule","Apagar Regra"
"Description","Descrição"
"Description: %s","Descrição: %s"
"Disabled","Desabilitado"
"Edit Rule '%s'","Editar Regra '%s'"
"Enabled","Habilitado"
"equals or greater than","igual ou maior que"
"equals or less than","igual ou menor que"
"Expire at: %s","Expirar em: %s"
"From Date","Da Data"
"General Information","Informações Gerais"
"greater than","maior que"
"ID","ID"
"If an item is %s in the cart with %s of these conditions true:","Se um item está %s no carrinho com %s destas condições verdadeiras:"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Se %s %s %s para uma subseleção de itens no carrinho atende %s destas condições:"
"Inactive","Inativo"
"is","é"
"is not","não é"
"is not one of","não é um dos"
"is one of","é um dos"
"Item does not exist","Item não existe"
"less than","menos do que"
"Market Segmentation Suite","Suite de Segmentação de Mercado"
"Market Segmentation Suite Rule","Regra Suite de Segmentação de Mercado"
"Name: %s","Nome: %s"
"New Rule","Nova Regra"
"No","Não"
"NOT LOGGED IN","NÃO ESTÁ CONECTADO"
"Only active MSS rules are listed here","Apenas regras MSS ativas são listadas aqui"
"Payment Method","Método de Pagamento"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributo de produto"
"Product Attribute","Atributo de Produto"
"Products subselection","Subseleção de produtos"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Linha total no carrinho"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Rule Priority","Prioridade da Regra"
"Rule was successfully deleted","Regra foi apagada com sucesso"
"Rule was successfully saved","Regra foi salva com sucesso"
"Save Rule","Salvar Regra"
"Shipping Country","País de Expedição"
"Shipping Method","Método de Expedição"
"Shipping Postcode","CEP de Expedilção"
"Shipping Region","Região de Expedição"
"Shipping State/Province","Estado de Expedição"
"Shopping cart","Carrinho de compras"
"Show CMS block","Mostrar bloco CMS"
"Show promo block on pages","Mostrar bloco de promoção nas páginas"
"Start at: %s","Iniciar em: %s"
"Start date can\'t be greater than end date","Data de início não pode ser maior que a data final"
"Status","Status"
"Stop further rules processing","Parar processamento de regras"
"Subtotal","Subtotal"
"The page you are trying to save no longer exists","A página que você está tentando salvar não existe mais"
"To Date","Para Data"
"total amount","quantidade total"
"Total Items Quantity","Quantidade Total dos Itens"
"total quantity","quantidade total"
"Total Weight","Peso Total"
"Validate the block by MSS rule","Validar o bloco pela regra MSS"
"Websites","Websites"
"When the rule is met","Quando a regra é atendidad"
"Yes","Sim"
"Manage Rules","Gerenciar Regras"
"Edit Rule","Editar Regra"
